Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C15, C16, C19, C20, C22, C24, C26, C30, C4, C7, C8",0805,14,10UF,
"C10, C9",0805,2,2.2NF,
"C13, C14, C17, C18, C2, C21, C23, C25, C27, C28, C29, C3, C5, C6",0805,14,100NF,
D1,D_SOD-123,1,1N5817,
D2,D_SOD-123,1,1N4148,
"D3, D4",D_SOD-123F,2,1N4007,
FS1,PinHeader_1x02_P2.54mm_Vertical,1,Foot_Switch_1,
FS2,PinHeader_1x02_P2.54mm_Vertical,1,Foot_Switch_2,
"GND, VIN",TestPoint_THTPad_D2.0mm_Drill1.0mm,2,~,
J2,NEUTRIK_NMJ6HCD2,1,AUDIO_IN_TRS,
J3,PJ-320A,1,MIDI IN JACK,
J4,NEUTRIK_NMJ6HCD2,1,AUDIO_OUT_TRS,
"J6, J7",PinSocket1x20_P2.54mm_Vertical_JLCPCB,2,Conn_01x20_Socket,
"K1, K2",Relay_DPDT_Omron_G6K-2G-Y,2,G6K-2,
LED1,PinHeader_1x02_P2.54mm_Vertical,1,LED_1,
LED2,PinHeader_1x02_P2.54mm_Vertical,1,LED_2,
"POTTY1, POTTY2, POTTY3, POTTY4",Potty,4,Custom_Encoder/LED_Module,
Q1,SOT-23-3,1,SS8050,
"R1, R10, R11, R12, R15, R16, R2, R4, R5, R9",0805,10,2M,
"R13, R14",0805,2,100R,
R17,0805,1,220R,
"R18, R19, R26, R27, R28, R29",0805,6,4.7K,
R20,0805,1,470R,
"R21, R22, R23, R24, R25",0805,5,1K,
"R3, R6",0805,2,100K,
"R7, R8",0805,2,3.3K,
U1,SOT-223-3_TabPin2,1,LD1117S50TR_SOT223,
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP6004,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA1652AID,
U4,SOP-6_2.54mm,1,H11L1,
"U5, U6",SOP-4_3.8x4.1mm_P2.54mm,2,CPC1018N,
U7,HiLetgo_OLED_SPI,1,OLED_DISPLAY_SSD1306_SPI,
U8,TO-220-3_Vertical,1,LM7805_TO220,
